Location: GenPlots
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\091015-runs\091015b1-FRPIJE.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
1 = realplot
2 = simplot
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: PIJE	Sdl Abs Den: PIMO	Sdl Abs Den: ABMA	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: PIJE	Sapl Abs BA: PIMO	Sapl Abs BA: ABMA	Sapl BA Total:	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: PIJE	Sapl Abs Den: PIMO	Sapl Abs Den: ABMA	Sapl Den Total:	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: PIJE	Adult Abs BA: PIMO	Adult Abs BA: ABMA	Adult BA Total:	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: PIJE	Adult Abs Den: PIMO	Adult Abs Den: ABMA	Adult Den Total:	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUCH	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: PIJE	Natural Dead Sdl Abs Den: PIMO	Natural Dead Sdl Abs Den: ABMA	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUCH	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: PIJE	Natural Dead Sapl Abs BA: PIMO	Natural Dead Sapl Abs BA: ABMA	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUCH	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: PIJE	Natural Dead Sapl Abs Den: PIMO	Natural Dead Sapl Abs Den: ABMA	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUCH	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: PIJE	Natural Dead Adult Abs BA: PIMO	Natural Dead Adult Abs BA: ABMA	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: PIJE	Natural Dead Adult Abs Den: PIMO	Natural Dead Adult Abs Den: ABMA	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	0.0607952	0.00232453	0.0559793	0	0	0.0650539	0.827808	0.0129887	0	1.02495	7.33333	2.88889	2.77778	0	0	11.4444	88.4444	1.11111	0	114	9.98791	0	2.04849	0	0	0.208719	29.0828	0	0	41.3279	6.22222	0	1.44444	0	0	3.88889	51.6667	0	0	63.2222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0	0	0.0578501	0.00105322	0.110852	0	0	0.0914471	0.719429	0.0116899	0	0.992321	5	3	3	0	0	13	85	1	0	110	1.99594	0	1.15942	0	0	0.095206	14.6413	0	0	17.8919	8	0	1	0	0	3	54	0	0	66	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0	2	0	0	0	0	0	0	0	0	0	0	0.0611634	0.00248345	0.0491202	0	0	0.0617547	0.841355	0.0131511	0	1.02903	7.625	2.875	2.75	0	0	11.25	88.875	1.125	0	114.5	10.9869	0	2.15962	0	0	0.222908	30.888	0	0	44.2574	6	0	1.5	0	0	4	51.375	0	0	62.875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	0	5.77778	0	0.444444	0	0	0	5.44444	0	0	11.6667	0.0575197	0.00246978	0.0570356	0	0	0.0664624	0.831486	0.0133975	0	1.02837	7.22222	2.88889	2.77778	0	0	11.4444	87.4444	1.11111	0	112.889	10.0032	0	2.05516	0	0	0.206389	29.0814	0	0	41.3461	6.22222	0	1.44444	0	0	3.66667	51.3333	0	0	62.6667	0	0	0	0	0	0	0	0	0	0	0.00459094	0	0	0	0	0	0.00449732	0	0	0.00908826	0.111111	0	0	0	0	0	0.555556	0	0	0.666667	0	0	0	0	0	0.00434137	0.150544	0	0	0.154886	0	0	0	0	0	0.222222	0.777778	0	0	1
1	1	52	0	0	0	0	0	7	0	0	59	0.017433	0.00116826	0.112461	0	0	0.0932425	0.738566	0.0120578	0	0.974929	4	3	3	0	0	13	84	1	0	108	2.0085	0	1.16428	0	0	0.0964964	14.4223	0	0	17.6915	8	0	1	0	0	3	53	0	0	65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	2	0	0	0.5	0	0	0	5.25	0	0	5.75	0.0625305	0.00263247	0.0501074	0	0	0.0631149	0.843101	0.013565	0	1.03505	7.625	2.875	2.75	0	0	11.25	87.875	1.125	0	113.5	11.0025	0	2.16651	0	0	0.220126	30.9138	0	0	44.3029	6	0	1.5	0	0	3.75	51.125	0	0	62.375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	0	9.88889	0	0.666667	0	0	0.333333	10.2222	0	0	21.1111	0.0588017	0.00262366	0.0578162	0	0	0.0655915	0.824164	0.0138127	0	1.02281	7.22222	2.88889	2.66667	0	0	11.1111	86.1111	1.11111	0	111.111	10.0184	0	2.06184	0	0	0.21026	29.1773	0	0	41.4678	6.22222	0	1.44444	0	0	3.77778	51.7778	0	0	63.2222	1.66667	0	0.111111	0	0	0	0.444444	0	0	2.22222	0	0	0.000291644	0	0	0.000375201	0.00731489	0	0	0.00798174	0	0	0.111111	0	0	0.222222	0.666667	0	0	1	0	0	0	0	0	0	0.0610001	0	0	0.0610001	0	0	0	0	0	0	0.222222	0	0	0.222222
2	1	89	0	0	0	0	1	9	0	0	99	0.0178558	0.00129227	0.114088	0	0	0.0948037	0.760823	0.0124314	0	1.00129	4	3	3	0	0	12	84	1	0	107	2.02109	0	1.16914	0	0	0.0977955	14.5356	0	0	17.8236	8	0	1	0	0	3	53	0	0	65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	2	0	0	0.75	0	0	0.25	10.375	0	0	11.375	0.0639199	0.00279009	0.0507822	0	0	0.06194	0.832081	0.0139853	0	1.0255	7.625	2.875	2.625	0	0	11	86.375	1.125	0	111.625	11.0181	0	2.17342	0	0	0.224318	31.0075	0	0	44.4234	6	0	1.5	0	0	3.875	51.625	0	0	63	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	0	13.3333	0	0.555556	0	0	0.555556	15.1111	0	0	29.5556	0.0596859	0.00278619	0.0588847	0	0	0.0647654	0.824813	0.0142341	0	1.02517	7.11111	2.88889	2.66667	0	0	10.8889	84.2222	1.11111	0	108.889	10.0337	0	2.06853	0	0	0.211482	29.0817	0	0	41.3954	6.22222	0	1.44444	0	0	3.77778	51.6667	0	0	63.1111	2.66667	0	0.222222	0	0	0.222222	1.77778	0	0	4.88889	0.000419036	0	0	0	0	0.000312695	0.00744389	0	0	0.00817562	0.111111	0	0	0	0	0.111111	1.44444	0	0	1.66667	0	0	0	0	0	0.00269028	0.244902	0	0	0.247592	0	0	0	0	0	0.111111	0.555556	0	0	0.666667
